Name,Vine Followers,Twitter,Instagram,About,Category,Brand Friendly?,YouTube,Comps,Vine Profile (web)
Alabama Boss,522K,3803,17549,This popular viner has done the southern takeover.  ,Comedy,,https://www.youtube.com/channel/UCifmeAA8OPbTMuE7_03kuxw,,https://vine.co/u/1003130946452860928
Amymarie,2.3M,43.9K,196190,"Amymarie is a self taught dancer & choreographer.  She is the most popular viner that specializes in dance.  She mostly freestyles to dubstep, but doesnt limit herself to any type of dance.  Her content is very unique which has continued to accelerate her growth in viewership.",Dance,,https://www.youtube.com/amymariexox64,,https://vine.co/Amymarie
Anwar Jibawi,339K,632,26557,Anwar Jibawi ,Comedy,,n/a,,https://vine.co/u/947638064086433792
AustinMilesGeter,1.1M,14.4K,,"Austin is a born physical comedian.  He has quickly gathered over half a million followers from his loud, no-holds-barred approach to Vining.  He hails from Arlington, Texas, where he grew up performing with his hip hop troupe.  He loves the challenge of getting people to laugh in six seconds an the ability to reach such a wide audience through Vine.",Comedy,,http://www.youtube.com/user/AustinMilesGeter,"biweekly, best of the month, themes",https://vine.co/AustinMilesGeter
BarkleyThePom,308K,10.2k,36941,"A stylish, well-traveled and adorable Pomeranian.  Vines consist of Barkley displaying cute poses and funny skits.",Animals,,http://www.youtube.com/user/BarkleyThePom,1 comp / month,https://vine.co/BarkleyThePom
BigNik,903K,2855,43109,"BigNik is a 15 yr old from San Diego.  He is an all around comedian that pulls pranks, acts silly and does funny impressions.  Living with dwarfasim he uses this to give people a good laugh and spread the humor.",Comedy,,,,https://vine.co/BigNik
Bottlerocket,323K,323K,2941,This Massachusetts dad is known for his cute and funny father daughter dances on Saturday mornings.  ,Family,,https://www.youtube.com/user/Bottlerocketvines,,https://vine.co/Bottlerocket
BrandonCalvillo,2.6M,67.1K,127443,"Brandon is a nineteen-year-old from California.  His Vine videos run the gamut from sketch comedy to creepy videos inspired by horror films.  His parents often make a cameo in his Vines as well.  Though Vining takes up much of his free time, he also enjoys watching horror films from the '80s, cooking and working out.",Comedy,,http://www.youtube.com/user/BrandonCalvillo,"biweekly, best of the month, themes",https://vine.co/BrandonCalvillo
BrennanTracy,1M,54K,38139,"A soccer playing college student, Brennan's vines depict awkward situations and characters.",Comedy,,http://www.youtube.com/user/MrBrennanTV,best vines all time,https://vine.co/BrennanTracy
brittanyfurlan,5.7M,137K,637887,"Brittany Furlan is a certified Vine Star.  With millions of followers, she is the most popular female on Vine.  She is a comedian and actress who hails from Philadelphia, Pennsylvania and has appeared on numerous national commercial and television shows.  She is known for her sketch comedy videos, hilarious observations on life, as well as her ""Where the Party's At"" series.",Comedy,,http://www.youtube.com/user/BrittanyFurlan,"daily, biweekly, best of the month, themes",https://vine.co/brittanyfurlan
Brittlestar,312K,68K,4711,"Brittlestar is a popular dad viner.  He has established a worldwide following thanks to his books, music and vine.  His vines usually feature his wife and two talented sons.",Family/Comedy,,http://www.youtube.com/user/brittletube/videos,,https://vine.co/Brittlestar
Bruce Devlin,69K,10.2K,n/a,Bruce is a master of splicing movie and tv clips together with music to create a dialogue between various forms of pop culture,"Music, Pop Culture, Comedy",,n/a,n/a,https://vine.co/u/906995348860448768
Buster Beans,739K,9989,129974,Curtis Lepore's adorable Boston Terrier. Can seriously rock a pair of sunglasses.,Animals,,n/a,n/a,https://vine.co/u/970802894213447680
Cameron Goldsworthy,411K,3854,18661,,,,,,https://vine.co/Cameron.Goldsworthy
ChadJaxonPerez,438K,3628,31019,Chad Perez is a singer & songwriter from San Diego.  Competed in 3 Minutes to Stardom.,Music,,https://www.youtube.com/user/TheChaaaadMusic/about,,https://vine.co/ChadJaxonPerez
CharlieClassic,127K,3644,13281,"His offensive humor is genius. This Viner takes it there with his vulgar, obscene and racy videos.  ",Comedy,,http://www.youtube.com/user/Mrcharlieclassic/feed,,https://vine.co/CharlieClassic
Chip.Hoch,252K,4706,11911,"A friend of Eric Dunn's, Chip makes many Vines with Eric. Known for calling out racial stereotypes and pranking his father. ",Comedy,,http://www.youtube.com/user/chiphoch,"*no Collab banner, all time best comps ",https://vine.co/Chip.Hoch
Christian.Delgrosso,2.3M,173K,173093,"Christian is a Viner known for his physical comedy, 'Girls Be Like' characters and dressing up as Grandpa Joe.  He is well rounded and a versatile actor.  His comedic acting skills has been known to relate to Jim Carrey. Christian is officially the biggest viner in Canada. ",Comedy,,http://www.youtube.com/user/christiandelgrosso,"biweekly, best of the month, themes",https://vine.co/Christian.Delgrosso
codyjohns,1.8M,96.6K,210733,,,,,,https://vine.co/codyjohns
TheRealComedianChris,1M,12.5K,23297,African American stand up comedian and actor. Chrisâ€™s vines often feature his three year old son. He makes a lot of vines centering around relationship commentary and racial stereotypes. ,Comedy,,http://www.youtube.com/user/comedianchristv,"*no Collab banner, best of month, themes ",https://vine.co/TheRealComedianChris
CurtisLepore,4.2M,213K,643687,One of the biggest and fastest growing Viners. Curtis makes elaborately planned out Vines that are fully realized sketches. Frequently collaborates with other big Viners.,"Comedy, Variety",,http://www.youtube.com/user/CurtisLepore,"most popular vines, weekly comps, best of month, best of 2013",https://vine.co/CurtisLepore
Danny LoPriore,301K,5299,4454,,,,,,https://vine.co/u/908917423149826048
Danyelle Rose,1.1M,24.7K,62120,"As a single mother with a three year old, her vines center around relationship comedy and appeal largely to females","Comedy, Relationships, Family",,http://www.youtube.com/user/DamnDRose,"biweekly, best of 2013",https://vine.co/u/938580472605347840
mrlegendarius,744K,5956,33098,"Daruis Benson is a fast growing Vine star with a bundle of talents.  His vines are a combination of funny, witty, and clever.  He also shows off his amazing musical talents. ","Comedy, Music",,https://www.youtube.com/channel/UCp207INWXuK1fmmnVdX0bfw,,https://vine.co/mrlegendarius
DavidDobrik,76K,1234,1158,,,,,,https://vine.co/DavidDobrik
davidlopez,2.5M,7935,220370,"A Latin American Viner known for his ""Life of Juan"" series and his hilarious take on cultural and gender differences","Comedy, Culture",,https://www.youtube.com/user/davidlopezvine,"biweekly, best of 2013",https://vine.co/davidlopez
Daz_Black,1.3M,7058,14232,"A U.K.-based Viner, he does Movie parodies, impressions, and all-around funny stuff.  Has a character named #happycloud, a face made out of soap bubbles.",Comedy,,http://www.youtube.com/user/darreniscold666,"biweekly, best of 2013",https://vine.co/Daz_Black
